Stripe Id,Reference,Species,Genome Build,Biosample,Assay,Accession,Resolution Bp,Normalization,Chrom,Stripe Region,Orientation,Patch Matrix Size,Patch Genomic Span,Patch Region,Patch Path
stripe_0011,Vian et al.,mouse,NCBI37/mm9,CH12,Hi-C,GSE98119,10000,KR,chr9,Chr9:76073001-76153000 Chr9:76073001-77253000,left,252,2.507MB,Chr9:75493000-78000000,gold-standard-stripes/patches/gold_st_mat7_matrix.txt
stripe_0012,Vian et al.,mouse,NCBI37/mm9,aB72h,Hi-C,GSE82144,5000,KR,chr6,Chr6:98450001-98490000 Chr6:98450001-99580000,left,401,2.0MB,Chr6:98000000-100000000,gold-standard-stripes/patches/gold_st_mat8_matrix.txt
stripe_0013,Gupta et al.,human,hg19/GRCh37,IMR90,Hi-C,GSE63525,10000,KR,chr8,Chr8:105760001-105840000 Chr8:105760001-106820000,left,201,2.0MB,Chr8:105000000-107000000,gold-standard-stripes/patches/gold_st_mat9_matrix.txt
stripe_0014,Gupta et al.,human,hg19/GRCh37,IMR90,Hi-C,GSE63525,10000,KR,chr8,Chr8:106320001-106360000 Chr8:106320001-106820000,left,201,2.0MB,Chr8:105000000-107000000,gold-standard-stripes/patches/gold_st_mat9_matrix.txt
stripe_0015,Gupta et al.,human,hg19/GRCh37,IMR90,Hi-C,GSE63525,10000,KR,chr14,Chr14:89460001-89520000 Chr14:89460001-90460000,left,201,2.0MB,Chr14:89000000-91000000,gold-standard-stripes/patches/gold_st_mat10_matrix.txt
stripe_0016,Gupta et al.,human,hg19/GRCh37,GM12878,Hi-C,GSE63525,10000,KR,chr9,Chr9:93600001-93660000 Chr9:92860001-93660000,right,131,1.3MB,Chr9:92700000-94000000,gold-standard-stripes/patches/gold_st_mat11_matrix.txt
stripe_0017,Yoon et al.,mouse,NCBI37/mm9,CH12,Hi-C,GSE98119,10000,KR,chr12,Chr12:40720001-40800000 Chr12:40200001-40800000,right,231,2.3MB,Chr12:40000000-42300000,gold-standard-stripes/patches/gold_st_mat12_matrix.txt
stripe_0018,Yoon et al.,mouse,NCBI37/mm9,CH12,Hi-C,GSE98119,10000,KR,chr12,Chr12:41540001-41600000 Chr12:41540001-42280000,left,231,2.3MB,Chr12:40000000-42300000,gold-standard-stripes/patches/gold_st_mat12_matrix.txt
stripe_0019,Yoon et al.,mouse,NCBI37/mm9,CH12,Hi-C,GSE98119,10000,KR,chr12,Chr12:41820001-41870000 Chr12:41820001-42280000,left,231,2.3MB,Chr12:40000000-42300000,gold-standard-stripes/patches/gold_st_mat12_matrix.txt
stripe_0020,Yoon et al.,mouse,NCBI37/mm9,aB72h,Hi-C,GSE82144,5000,KR,chr16,Chr16:23945001-23990000 Chr16:23945001-25360000,left,401,2.0MB,Chr16:23900000-25900000,gold-standard-stripes/patches/gold_st_mat13_matrix.txt
stripe_0021,Yoon et al.,mouse,NCBI37/mm9,aB72h,Hi-C,GSE82144,5000,KR,chr16,Chr16:25040001-25080000 Chr16:23950001-25080000,right,401,2.0MB,Chr16:23900000-25900000,gold-standard-stripes/patches/gold_st_mat13_matrix.txt
stripe_0022,Yoon et al.,mouse,NCBI37/mm9,aB72h,Hi-C,GSE82144,5000,KR,chr16,Chr16:25240001-25280000 Chr16:23950001-25280000,right,401,2.0MB,Chr16:23900000-25900000,gold-standard-stripes/patches/gold_st_mat13_matrix.txt
stripe_0023,Rowley et al.,mouse,NCBI37/mm9,aB72h,Hi-C,GSE82144,5000,KR,chr10,Chr10:121470001-121505000 Chr10:121050001-121505000,right,161,0.8MB,Chr10:120900000-121700000,gold-standard-stripes/patches/gold_st_mat14_matrix.txt
stripe_0024,Rowley et al.,mouse,NCBI37/mm9,aB72h,Hi-C,GSE82144,5000,KR,chr1,Chr1:130700001-130740000 Chr1:130200001-130740000,right,201,1.0MB,Chr1:130000000-131000000,gold-standard-stripes/patches/gold_st_mat15_matrix.txt
stripe_0025,Rowley et al.,human,hg19/GRCh37,GM12878,Hi-C,GSE63525,5000,KR,chr2,Chr2:223160001-223200000 Chr2:223160001-223500000,left,201,1.0MB,Chr2:223000000-224000000,gold-standard-stripes/patches/gold_st_mat16_matrix.txt
stripe_0026,Kraft et al.,mouse,NCBI37/mm9,WT distal limb buds (E11.5 mouse),CHiC,GSE116794,10000,KR,chr1,Chr1:75500001-75560000 Chr1:74900001-75560000,right,200,2.0MB,Chr1:74000000-76000000,gold-standard-stripes/patches/gold_st_mat17_matrix.txt
stripe_0027,Kraft et al.,mouse,NCBI37/mm9,WT distal limb buds (E11.5 mouse),CHiC,GSE116794,10000,KR,chr1,Chr1:75340001-75420000 Chr1:74900001-75420000,right,200,2.0MB,Chr1:74000000-76000000,gold-standard-stripes/patches/gold_st_mat18_matrix.txt
stripe_0028,Kraft et al.,mouse,NCBI37/mm9,WT distal limb buds (E11.5 mouse),CHiC,GSE116794,10000,KR,chr1,Chr1:75130001-75210000 Chr1:74800001-75210000,right,200,2.0MB,Chr1:74000000-76000000,gold-standard-stripes/patches/gold_st_mat19_matrix.txt
stripe_0029,Kraft et al.,mouse,NCBI37/mm9,WT distal limb buds (E11.5 mouse),CHiC,GSE116794,10000,KR,chr1,Chr1:75020001-75080000 Chr1:74440001-75080000,right,200,2.0MB,Chr1:74000000-76000000,gold-standard-stripes/patches/gold_st_mat20_matrix.txt
stripe_0030,Zhang et al.,mouse,NCBI37/mm9,earlyG1（G1E-ER4）,Hi-C,GSE129997,10000,KR,chr1,Chr1:132220001-132280000 Chr1:131300001-132280000,right,200,2.0MB,Chr1:130500000-132500000,gold-standard-stripes/patches/gold_st_mat21_matrix.txt
stripe_0031,Zhang et al.,mouse,NCBI37/mm9,earlyG1,Hi-C,GSE129997,10000,KR,chr2,Chr2:13220001-13280000 Chr2:13220001-14160000,left,200,2.0MB,Chr2:12800000-14800000,gold-standard-stripes/patches/gold_st_mat22_matrix.txt
stripe_0032,Zhang et al.,mouse,NCBI37/mm9,earlyG1,Hi-C,GSE129997,10000,KR,chr10,Chr10:118280001-118320000 Chr10:118280001-118700000,left,60,0.6MB,Chr10:118200000-118800000,gold-standard-stripes/patches/gold_st_mat23_matrix.txt
stripe_0033,Zhang et al.,mouse,NCBI37/mm9,midG1（G1E-ER4）,Hi-C,GSE129997,10000,KR,chr1,Chr1:132220001-132280000 Chr1:130720001-132280000,right,200,2.0MB,Chr1:130500000-132500000,gold-standard-stripes/patches/gold_st_mat24_matrix.txt
stripe_0034,Zhang et al.,mouse,NCBI37/mm9,midG1,Hi-C,GSE129997,10000,KR,chr2,Chr2:13220001-13280000 Chr2:13220001-14300000,left,200,2.0MB,Chr2:12800000-14800000,gold-standard-stripes/patches/gold_st_mat25_matrix.txt
stripe_0035,Zhang et al.,mouse,NCBI37/mm9,midG1,Hi-C,GSE129997,10000,KR,chr10,Chr10:118280001-118320000 Chr10:118280001-118700000,left,60,0.6MB,Chr10:118200000-118800000,gold-standard-stripes/patches/gold_st_mat26_matrix.txt
stripe_0036,Zhang et al.,mouse,NCBI37/mm9,lateG1（G1E-ER4）,Hi-C,GSE129997,10000,KR,chr1,Chr1:132220001-132280000 Chr1:130720001-132280000,right,200,2.0MB,Chr1:130500000-132500000,gold-standard-stripes/patches/gold_st_mat27_matrix.txt
stripe_0037,Zhang et al.,mouse,NCBI37/mm9,lateG1,Hi-C,GSE129997,10000,KR,chr2,Chr2:13220001-13280000 Chr2:13220001-14300000,left,200,2.0MB,Chr2:12800000-14800000,gold-standard-stripes/patches/gold_st_mat28_matrix.txt
stripe_0038,Zhang et al.,mouse,NCBI37/mm9,lateG1,Hi-C,GSE129997,10000,KR,chr10,Chr10:118280001-118320000 Chr10:118280001-118700000,left,60,0.6MB,Chr10:118200000-118800000,gold-standard-stripes/patches/gold_st_mat29_matrix.txt
stripe_0039,Krietenstein et al.,human,hg38/GRCh38,H1_hESC,Micro-C,4DNES21D8SP8,10000,KR,chr3,Chr3:3160001-3220000 Chr3:3160001-4300000,left,200,2.0MB,Chr3:3000000-5000000,gold-standard-stripes/patches/gold_st_mat30_matrix.txt
stripe_0040,Krietenstein et al.,human,hg38/GRCh38,H1_hESC,Micro-C,4DNES21D8SP8,10000,KR,chr3,Chr3:3950001-4020000 Chr3:3160001-4020000,right,200,2.0MB,Chr3:3000000-5000000,gold-standard-stripes/patches/gold_st_mat30_matrix.txt
stripe_0041,Krietenstein et al.,human,hg38/GRCh38,H1_hESC,Micro-C,4DNES21D8SP8,10000,KR,chr3,Chr3:4240001-4310000 Chr3:3160001-4310000,right,200,2.0MB,Chr3:3000000-5000000,gold-standard-stripes/patches/gold_st_mat30_matrix.txt
stripe_0042,Krietenstein et al.,human,hg38/GRCh38,H1_hESC,Micro-C,4DNES21D8SP8,10000,KR,chr3,Chr3:4590001-4650000 Chr3:4300001-4650000,right,200,2.0MB,Chr3:3000000-5000000,gold-standard-stripes/patches/gold_st_mat30_matrix.txt
stripe_0043,Krietenstein et al.,human,hg38/GRCh38,H1_hESC,Micro-C,4DNES21D8SP8,10000,KR,chr3,Chr3:4300001-4380000 Chr3:4300001-4960000,left,200,2.0MB,Chr3:3000000-5000000,gold-standard-stripes/patches/gold_st_mat30_matrix.txt
stripe_0044,Krietenstein et al.,human,hg38/GRCh38,H1_hESC,Hi-C,4DNSRV3SKQ8M,10000,KR,chr3,Chr3:3160001-3240000 Chr3:3160001-4300000,left,200,2.0MB,Chr3:3000000-5000000,gold-standard-stripes/patches/gold_st_mat31_matrix.txt
stripe_0045,Krietenstein et al.,human,hg38/GRCh38,H1_hESC,Hi-C,4DNSRV3SKQ8M,10000,KR,chr3,Chr3:4240001-4300000 Chr3:3160001-4300000,right,200,2.0MB,Chr3:3000000-5000000,gold-standard-stripes/patches/gold_st_mat31_matrix.txt
stripe_0046,Krietenstein et al.,human,hg38/GRCh38,HFFc6,Micro-C,4DNESWST3UBH,10000,KR,chr7,Chr7:41660001-41740000 Chr7:40140001-41740000,right,400,4.0MB,Chr7:39000000-43000000,gold-standard-stripes/patches/gold_st_mat32_matrix.txt
stripe_0047,Krietenstein et al.,human,hg38/GRCh38,HFFc6,Micro-C,4DNESWST3UBH,10000,KR,chr7,Chr7:41920001-42000000 Chr7:41920001-42940000,left,400,4.0MB,Chr7:39000000-43000000,gold-standard-stripes/patches/gold_st_mat32_matrix.txt
stripe_0048,Krietenstein et al.,human,hg38/GRCh38,HFFc6,Micro-C,4DNESWST3UBH,10000,weight,chr8,Chr8:68540001-68600000 Chr8:68540001-69660000,left,200,2.0MB,Chr8:68000000-70000000,gold-standard-stripes/patches/gold_st_mat33_matrix.txt
stripe_0049,Krietenstein et al.,human,hg38/GRCh38,HFFc6,Micro-C,4DNESWST3UBH,2000,KR,chr15,Chr15:66940001-66956000 Chr15:66940001-67396000,left,300,0.6MB,Chr15:66800000-67400000,gold-standard-stripes/patches/gold_st_mat34_matrix.txt
stripe_0050,Krietenstein et al.,human,hg38/GRCh38,HFFc6,Micro-C,4DNESWST3UBH,2000,KR,chr15,Chr15:67292001-67308000 Chr15:66932001-67308000,right,300,0.6MB,Chr15:66800000-67400000,gold-standard-stripes/patches/gold_st_mat34_matrix.txt
stripe_0051,Krietenstein et al.,human,hg38/GRCh38,HFFc6,Hi-C,4DNSRC6ZVYVP,10000,KR,chr7,Chr7:41660001-41740000 Chr7:40140001-41740000,right,400,4.0MB,Chr7:39000000-43000000,gold-standard-stripes/patches/gold_st_mat35_matrix.txt
stripe_0052,Krietenstein et al.,human,hg38/GRCh38,HFFc6,Hi-C,4DNSRC6ZVYVP,10000,KR,chr7,Chr7:41920001-42000000 Chr7:41920001-42940000,left,400,4.0MB,Chr7:39000000-43000000,gold-standard-stripes/patches/gold_st_mat35_matrix.txt
stripe_0053,Krietenstein et al.,human,hg38/GRCh38,HFFc6,Hi-C,4DNSRC6ZVYVP,10000,KR,chr8,Chr8:68540001-68600000 Chr8:68540001-69660000,left,200,2.0MB,Chr8:68000000-70000000,gold-standard-stripes/patches/gold_st_mat36_matrix.txt
stripe_0054,Krietenstein et al.,human,hg38/GRCh38,HFFc6,Hi-C,4DNSRC6ZVYVP,2000,KR,chr15,Chr15:66940001-66956000 Chr15:66940001-67396000,left,300,0.6MB,Chr15:66800000-67400000,gold-standard-stripes/patches/gold_st_mat37_matrix.txt
stripe_0055,Krietenstein et al.,human,hg38/GRCh38,HFFc6,Hi-C,4DNSRC6ZVYVP,2000,KR,chr15,Chr15:67292001-67308000 Chr15:66928001-67308000,right,300,0.6MB,Chr15:66800000-67400000,gold-standard-stripes/patches/gold_st_mat37_matrix.txt
